진짜 최고 영화이다웅장하고 벅차오른다,10
기대했지만 생각보다 별로였다,6
해외 평점 전부 최상인데 네이버만 평점테러ㅋㅋㅋ진짜 알바들때문에 네이버 평점 개봉~2년 간은 무시하세요.몇년지나야 진짜 평점답게 나옴.imdb 평점보세요. 전세계 영화 평점 다나오는데 공신력 있음,10
생각보다 많이 슬프진 않앗지만 너무너무 재밌었어요  책도 사서 볼 예정.... 호불호 갈리는것 같긴 하던데 개인적으로 일단 남주여주 너무 잘생겻고 예쁘고.. 재밌으니까 꼭꼭 보세요 ??,10
3시간짜리라 음료섭취 자제할것.3d로 볼경우 최대한 앞에서 볼것.내용은 진부하나 영상미때문에 재밌게 느껴짐.아바타1 줄거리 보고갈것.2022년 마무리용으로 볼만함.,10
책으로 읽고봐서 영화 내용 이해하기 쉬웠음 책으로 봤을때도 울었는데 영화보고는 더 서럽게 울었음ㅠ,10
5부작의 시작!!큰 그림을 바라보며 단점을 이해하고 극복하길 기대해본다,8
영화에 다양한 내용이 추가되었으면 했습니다. 시해한 죄 말고도 다른 스토리가 보여진다면 더 큰 슬픔과 감동이 있었을 것 같아서 아쉬웠습니다.. ,10
난 개인적으로 재미있었는데 왜 이렇게 평점이 낮은지... 그리고 제인 죽은 거 너무 슬픔ㅠㅠ,10
보고나서도 계속생각나는영화입니다...,10
3시간 진짜 안 아까워요~~~ㅠㅠ오늘도 봤습니다^^3번째 봅니다^^제이크 설리 연기도 진짜 잘해~ㅠㅠ 보는 내내 제이크 설리만~~^^ 솔직히 진짜 멋지다ㅠㅠ~~~오늘부터 제이크 설리 팬~^^,10
최고의 하이틴ㅜㅜㅠㅠ,10
멧카이나족이 되고 싶었음. 둥둥 바닷 속은 엄청 환상적임. 스토리도 나쁘지 않았다고 생각함. 세시간 초반을 잘 버텨서 용궁 세계를 같이 탐험해보길 바람 ,9
손수건을 가져가세요. 힘든 고난에도 이 나라 지켜주신 조상님들에게 너무 감사드립니다  ,10
전대갈 나쁜놈인건 알겠는데 먼 간첩이 국정원에 들어가있고 거기다 국정원 팀장급이 자기네 대통령 암살하려고 하고....스토리 개판인데..,2
머리 안쓰고 만든듯...,1
재미있게 봤어요 굿잡굿잡,10
우리나라 사람이라면 모두가 다 봤으면 좋겠다. 가슴이 식질 않는다.. 개인적으로 2022년 최고의 영화. 인생 영화 등극.,10
아쉬운 부분있는데 나문희님 장면에서는 계속 눈물났어요. ,8
흑흑 넘넘 재밌어요 으엉엉,10
